starting_date,am_or_pm,title,location,session_type,time_location
2023-03-27T00:00:00-07:00,PM,Flow Chemistry & Continuous Processes:,Virtual Session (Virtual Only),Session Type: Poster - Virtual,"12:00pm - 02:00pm USA / Canada - Eastern - March 27, 2023 | Location: Virtual Session (Virtual Only)"
2023-03-27T00:00:00-07:00,PM,Green Methods & Syntheses:,Virtual Session (Virtual Only),Session Type: Poster - Virtual,"12:00pm - 02:00pm USA / Canada - Eastern - March 27, 2023 | Location: Virtual Session (Virtual Only)"
2023-03-27T00:00:00-07:00,PM,Heterocycles & Aromatics:,Virtual Session (Virtual Only),Session Type: Poster - Virtual,"12:00pm - 02:00pm USA / Canada - Eastern - March 27, 2023 | Location: Virtual Session (Virtual Only)"
2023-03-27T00:00:00-07:00,PM,Metal-Mediated Reactions & Syntheses:,Virtual Session (Virtual Only),Session Type: Poster - Virtual,"12:00pm - 02:00pm USA / Canada - Eastern - March 27, 2023 | Location: Virtual Session (Virtual Only)"
2023-03-27T00:00:00-07:00,PM,Molecular Recognition & Self-Assembly:,Virtual Session (Virtual Only),Session Type: Poster - Virtual,"12:00pm - 02:00pm USA / Canada - Eastern - March 27, 2023 | Location: Virtual Session (Virtual Only)"
2023-03-27T00:00:00-07:00,PM,New Reactions & Methodology:,Virtual Session (Virtual Only),Session Type: Poster - Virtual,"12:00pm - 02:00pm USA / Canada - Eastern - March 27, 2023 | Location: Virtual Session (Virtual Only)"
2023-03-27T00:00:00-07:00,PM,Photocatalysis & Photochemistry:,Virtual Session (Virtual Only),Session Type: Poster - Virtual,"12:00pm - 02:00pm USA / Canada - Eastern - March 27, 2023 | Location: Virtual Session (Virtual Only)"
2023-03-27T00:00:00-07:00,PM,"Physical Organic Chemistry: Calculations, Mechanisms, Photochemistry & High-Energy Species:",Virtual Session (Virtual Only),Session Type: Poster - Virtual,"12:00pm - 02:00pm USA / Canada - Eastern - March 27, 2023 | Location: Virtual Session (Virtual Only)"
2023-03-27T00:00:00-07:00,PM,Total Synthesis of Complex Molecules:,Virtual Session (Virtual Only),Session Type: Poster - Virtual,"12:00pm - 02:00pm USA / Canada - Eastern - March 27, 2023 | Location: Virtual Session (Virtual Only)"
2023-03-27T00:00:00-07:00,PM,Diversity in Organic Chemistry: Celebrating Women:,Virtual Session (Virtual Only),Session Type: Poster - Virtual,"12:00pm - 02:00pm USA / Canada - Eastern - March 27, 2023 | Location: Virtual Session (Virtual Only)"
2023-03-27T00:00:00-07:00,PM,ORGN Reception - Meet the DOC Executive Committee,Room 137 (Indiana Convention Center),Session Type: Networking Events - In-person,"12:30pm - 02:00pm USA / Canada - Eastern - March 27, 2023 | Location: Room 137 (Indiana Convention Center)"
2023-03-27T00:00:00-07:00,PM,National Fresenius Award: Symposium in Honor of Todd Hyster:,Sagamore Ballroom 6 (Indiana Convention Center),Session Type: Oral - Hybrid,"02:00pm - 06:00pm USA / Canada - Eastern - March 27, 2023 | Location: Sagamore Ballroom 6 (Indiana Convention Center)"
2023-03-27T00:00:00-07:00,PM,Modern Methods in Polymer Chemistry:,Room 203 (Indiana Convention Center),Session Type: Oral - In-person,"02:00pm - 05:10pm USA / Canada - Eastern - March 27, 2023 | Location: Room 203 (Indiana Convention Center)"
2023-03-27T00:00:00-07:00,PM,"Successful Products and Models of Undergraduate-based Research: Good Science, Better Scientists:",Room 207 (Indiana Convention Center),Session Type: Oral - Hybrid,"02:00pm - 05:35pm USA / Canada - Eastern - March 27, 2023 | Location: Room 207 (Indiana Convention Center)"
2023-03-27T00:00:00-07:00,PM,Green Methods & Syntheses:,Room 202 (Indiana Convention Center),Session Type: Oral - In-person,"02:00pm - 05:10pm USA / Canada - Eastern - March 27, 2023 | Location: Room 202 (Indiana Convention Center)"
2023-03-27T00:00:00-07:00,PM,Molecular Recognition & Self-Assembly:,Room 204 (Indiana Convention Center),Session Type: Oral - In-person,"02:00pm - 05:35pm USA / Canada - Eastern - March 27, 2023 | Location: Room 204 (Indiana Convention Center)"
2023-03-27T00:00:00-07:00,PM,New Reactions & Methodology:,Room 201 (Indiana Convention Center),Session Type: Oral - In-person,"02:00pm - 05:40pm USA / Canada - Eastern - March 27, 2023 | Location: Room 201 (Indiana Convention Center)"
2023-03-28T00:00:00-07:00,AM,Molecular Recognition & Self-Assembly:,Room 204 (Indiana Convention Center),Session Type: Oral - In-person,"08:00am - 11:35am USA / Canada - Eastern - March 28, 2023 | Location: Room 204 (Indiana Convention Center)"
2023-03-28T00:00:00-07:00,AM,New Reactions & Methodology:,Room 201 (Indiana Convention Center),Session Type: Oral - In-person,"08:00am - 12:00pm USA / Canada - Eastern - March 28, 2023 | Location: Room 201 (Indiana Convention Center)"
2023-03-28T00:00:00-07:00,AM,"Physical Organic Chemistry: Calculations, Mechanisms, Photochemistry & High-Energy Species:",Room 202 (Indiana Convention Center),Session Type: Oral - In-person,"08:00am - 11:10am USA / Canada - Eastern - March 28, 2023 | Location: Room 202 (Indiana Convention Center)"
2023-03-28T00:00:00-07:00,AM,Elias J. Corey Award for Outstanding Original Contribution in Organic Synthesis by a Young Investigator:,Room 207 (Indiana Convention Center),Session Type: Oral - Hybrid,"08:00am - 12:00pm USA / Canada - Eastern - March 28, 2023 | Location: Room 207 (Indiana Convention Center)"
